,s,l,signal,gold,silver,assets
3583,4,15,13,39,39,111021.8993724624
3584,4,15,14,38,38,117424.90712332056
3585,4,15,15,37,37,125232.03891990334
3586,4,15,16,38,38,122181.12821680302
3587,4,15,17,40,40,120237.187493885
3588,4,15,18,43,43,111974.13878630262
3589,4,15,19,42,42,113693.63424516581
3590,4,15,20,42,42,107306.92160307162
3591,4,15,21,42,42,93904.76385729536
3592,4,15,22,41,41,110325.49198840573
3593,4,15,23,39,39,111533.14556484569
3594,4,15,24,37,37,113538.62730878676
3595,4,15,25,37,37,109881.88617972056
3596,4,15,26,37,37,116602.36405679982
3597,4,15,27,39,39,111466.13651420854
3598,4,15,28,39,39,107226.8621542844
3599,4,15,29,39,39,109550.24563141464
3600,4,15,30,39,39,111068.96588559292
3601,4,15,31,39,39,103307.69240442969
3602,4,15,32,39,39,90242.90142565139
3603,4,15,33,39,39,91109.01190638657
3604,4,15,34,39,39,90844.964678331
3605,4,15,35,35,35,108137.73248386019
3606,4,15,36,35,35,104886.6065387882
3607,4,15,37,36,36,100786.09080230295
3608,4,15,38,34,34,104986.60545669035
3609,4,15,39,34,34,103469.65491315632
3610,5,15,2,67,67,154771.2121252694
3611,5,15,3,57,57,130290.76232093979
3612,5,15,4,49,49,164955.06820710644
3613,5,15,5,46,46,168454.79772462582
3614,5,15,6,42,42,159520.19788588057
3615,5,15,7,41,41,151241.07426973418
3616,5,15,8,41,41,132948.76412104312
3617,5,15,9,42,42,115215.26487871897
3618,5,15,10,40,40,117025.25740634679
3619,5,15,11,38,38,124886.07102256056
3620,5,15,12,38,38,118140.82949319619
3621,5,15,13,37,37,114124.60819699106
3622,5,15,14,37,37,118660.61243763911
3623,5,15,15,36,36,114550.2381306336
3624,5,15,16,36,36,121661.7901238263
3625,5,15,17,39,39,103078.30773058976
3626,5,15,18,37,37,110948.88242020416
3627,5,15,19,37,37,110401.8687165936
3628,5,15,20,35,35,118965.22657178664
3629,5,15,21,36,36,114732.65256901454
3630,5,15,22,35,35,121082.73955464369
3631,5,15,23,35,35,122302.55583241991
3632,5,15,24,36,36,110470.5810296996
3633,5,15,25,36,36,111059.23873880353
3634,5,15,26,35,35,112902.04229253012
3635,5,15,27,35,35,103257.81988644606
3636,5,15,28,34,34,103816.7003616803
3637,5,15,29,32,32,116989.28990786192
3638,5,15,30,31,31,123856.9448370535
3639,5,15,31,32,32,111710.77695122872
3640,5,15,32,32,32,108967.77191847956
3641,5,15,33,31,31,111247.61331909208
3642,5,15,34,31,31,109871.8397529252
3643,5,15,35,31,31,103615.57440751707
3644,5,15,36,30,30,104269.31128528478
3645,5,15,37,30,30,101043.23411891636
3646,5,15,38,30,30,100990.53649712903
3647,5,15,39,30,30,100990.53649712903
3648,6,15,2,61,61,137437.53474482993
3649,6,15,3,51,51,152520.17903111034
3650,6,15,4,47,47,166503.46963173282
3651,6,15,5,42,42,159520.19788588057
3652,6,15,6,41,41,150545.54150196223
3653,6,15,7,40,40,144114.59176800662
3654,6,15,8,42,42,115232.35345576212
3655,6,15,9,38,38,125648.42010409335
3656,6,15,10,38,38,116790.25879444066
3657,6,15,11,38,38,112796.26292061407
3658,6,15,12,36,36,121195.75849927108
3659,6,15,13,37,37,111648.946305617
3660,6,15,14,36,36,120457.09915032345
3661,6,15,15,35,35,115555.61558598679
3662,6,15,16,35,35,106002.71723420828
3663,6,15,17,35,35,115841.7078176557
3664,6,15,18,34,34,107084.71153956014
3665,6,15,19,35,35,102137.53767030081
3666,6,15,20,35,35,110425.23413221282
3667,6,15,21,32,32,122704.73305628117
3668,6,15,22,30,30,125482.4769190121
3669,6,15,23,31,31,102866.8416118576
3670,6,15,24,32,32,102237.39340222836
3671,6,15,25,32,32,106035.1534780078
3672,6,15,26,31,31,121243.1455365171
3673,6,15,27,29,29,118671.76752872599
3674,6,15,28,29,29,116837.45879500227
3675,6,15,29,29,29,117499.94345346477
3676,6,15,30,30,30,111189.34949188551
3677,6,15,31,29,29,101354.26714699557
3678,6,15,32,28,28,87684.35686801463
3679,6,15,33,28,28,89017.36201685671
3680,6,15,34,28,28,88353.39610433295
3681,6,15,35,27,27,89562.77771240675
3682,6,15,36,27,27,93332.44879594923
3683,6,15,37,26,26,93930.84408139714
3684,6,15,38,24,24,98713.35061757968
3685,6,15,39,25,25,95155.26301661249
3686,7,15,2,59,59,135066.07688463785
3687,7,15,3,49,49,155396.9255412198
3688,7,15,4,44,44,161463.71419066866
3689,7,15,5,41,41,151241.07426973418
3690,7,15,6,40,40,144114.59176800662
3691,7,15,7,41,41,112105.53975643266
3692,7,15,8,38,38,126266.78524697163
3693,7,15,9,37,37,112397.4086217034
3694,7,15,10,36,36,116233.17377679796
3695,7,15,11,35,35,118488.35144550446
3696,7,15,12,36,36,111465.01308634618
3697,7,15,13,34,34,104175.74306221174
3698,7,15,14,34,34,108675.0926916355
3699,7,15,15,34,34,104936.96301724996
3700,7,15,16,34,34,108722.89650419644
3701,7,15,17,33,33,109466.47359612667
3702,7,15,18,33,33,119157.56487628417
3703,7,15,19,31,31,126645.03506065787
3704,7,15,20,30,30,111158.3901782319
3705,7,15,21,31,31,107601.44850390918
3706,7,15,22,30,30,104885.24663973159
3707,7,15,23,30,30,108257.77209734338
3708,7,15,24,29,29,108230.54529548639
3709,7,15,25,27,27,94442.50401532304
3710,7,15,26,27,27,99788.99684278277
3711,7,15,27,25,25,99077.50110314006
3712,7,15,28,25,25,96705.21948770923
3713,7,15,29,26,26,93923.39425612653
3714,7,15,30,26,26,90330.73474323086
3715,7,15,31,26,26,86934.94838751711
3716,7,15,32,26,26,82734.3216264147
3717,7,15,33,26,26,84189.24724395042
3718,7,15,34,25,25,88194.22292344867
3719,7,15,35,24,24,94893.38977004137
3720,7,15,36,22,22,100706.78879057478
3721,7,15,37,22,22,100706.78879057478
3722,7,15,38,22,22,100706.78879057478
3723,7,15,39,22,22,91390.0948113557
3724,8,15,2,55,55,143303.4139060833
3725,8,15,3,45,45,170868.37906912988
3726,8,15,4,42,42,140814.58754520435
3727,8,15,5,41,41,132948.76412104312
3728,8,15,6,42,42,115232.35345576212
3729,8,15,7,38,38,126266.78524697163
3730,8,15,8,37,37,113813.80194966354
3731,8,15,9,35,35,128910.32245946469
3732,8,15,10,35,35,116900.82686178123
3733,8,15,11,36,36,102616.7358892753
3734,8,15,12,35,35,100548.04217491772
3735,8,15,13,35,35,106169.86027019122
3736,8,15,14,33,33,107317.05386238726
3737,8,15,15,33,33,113897.19446395905
3738,8,15,16,33,33,122831.38157878103
3739,8,15,17,32,32,122139.66967484899
3740,8,15,18,31,31,105315.27550859455
3741,8,15,19,30,30,108429.20148307434
